protein_id,accession,host_type,product,length
YDS16695.1,PX879948.1,plant,RNA-dependent RNA polymerase,1975
YDS16696.1,PX879948.1,plant,triple gene block protein 1,243
YDS16697.1,PX879948.1,plant,triple gene block protein 2,108
YDS16698.1,PX879948.1,plant,triple gene block protein 3,66
YDS16699.1,PX879948.1,plant,coat protein,294
YDS16700.1,PX879948.1,plant,nucleic acid binding protein,94
YDS16689.1,PX879947.1,plant,RNA-dependent RNA polymerase,1975
YDS16690.1,PX879947.1,plant,triple gene block protein 1,243
YDS16691.1,PX879947.1,plant,triple gene block protein 2,108
YDS16692.1,PX879947.1,plant,triple gene block protein 3,66
YDS16693.1,PX879947.1,plant,coat protein,294
YDS16694.1,PX879947.1,plant,nucleic acid binding protein,94
YBB99136.1,PX412243.1,plant,P0 protein,264
YBB99137.1,PX412243.1,plant,P1-P2 fusion protein,1047
YBB99138.1,PX412243.1,plant,p1,622
YBB99139.1,PX412243.1,plant,P3-P5 readthrough protein,660
YBB99140.1,PX412243.1,plant,p3,197
YBB99141.1,PX412243.1,plant,p4,192
XXK24549.1,OR906323.1,plant,polyprotein,1964
XXK24550.1,OR906323.1,plant,26K protein,229
XXK24551.1,OR906323.1,plant,12K protein,109
XXK24552.1,OR906323.1,plant,7K protein,63
XXK24553.1,OR906323.1,plant,coat protein,304
XXK24554.1,OR906323.1,plant,19K protein,165
YDO00572.1,PX761454.1,plant,fusion protein p122,1062
YDO00571.1,PX761454.1,plant,putative coat protein p42,377
YDK23542.1,PX681986.1,plant,polyprotein,3061
YDK23543.1,PX681986.1,plant,PIPO,75
YDK23540.1,PX681985.1,plant,polyprotein,3060
YDK23541.1,PX681985.1,plant,PIPO,74
YDH89491.1,PX756901.1,plant,pre-coat protein,116
YDH89492.1,PX756901.1,plant,coat protein,257
YDH89493.1,PX756901.1,plant,C3 protein,134
YDH89494.1,PX756901.1,plant,C2 protein,135
YDH89495.1,PX756901.1,plant,rep protein,408
YDH89496.1,PX756901.1,plant,C4 protein,96
YDH80938.1,PX752255.1,plant,AV2,116
YDH80941.1,PX752255.1,plant,AC6,62
YDH80939.1,PX752255.1,plant,AV1,258
YDH80942.1,PX752255.1,plant,AC5,67
YDH80944.1,PX752255.1,plant,AC3,134
YDH80945.1,PX752255.1,plant,AC2,135
YDH80946.1,PX752255.1,plant,AC1,357
YDH80947.1,PX752255.1,plant,AC4,97
YDH80940.1,PX752255.1,plant,AV3,77
YDH54259.1,PX692073.1,plant,P0,264
YDH54260.1,PX692073.1,plant,P1,623
YDH54261.1,PX692073.1,plant,RNA-dependent RNA polymerase,440
YDH54265.1,PX692073.1,plant,P3-P5 protein,696
YDH54263.1,PX692073.1,plant,coat protein,196
YDH54264.1,PX692073.1,plant,movement protein,150
YBB99133.1,PX226659.1,plant,putative movement protein,664
YBB99134.1,PX226659.1,plant,viral replication protein,1831
YBB99135.1,PX226659.1,plant,coat protein,188
YDB81935.1,PX633046.1,plant,precoat protein,116
YDB81936.1,PX633046.1,plant,coat protein,258
YDB81937.1,PX633046.1,plant,REn Protein,134
YDB81938.1,PX633046.1,plant,TrAP Protein,135
YDB81939.1,PX633046.1,plant,REP Protein,357
YDB81940.1,PX633046.1,plant,C4 Protein,97
XYC67912.1,PV978368.1,plant,183 kDa replicase,1615
XYC67913.1,PV978368.1,plant,126 kDa replicase,1116
XYC67914.1,PV978368.1,plant,Movement protein,266
XYC67915.1,PV978368.1,plant,Coat Protein,159
XYC67908.1,PV978367.1,plant,183 kDa replicase,1615
XYC67909.1,PV978367.1,plant,126 kDa replicase,1116
XYC67910.1,PV978367.1,plant,Movement protein,266
XYC67911.1,PV978367.1,plant,Coat Protein,159
YCZ99378.1,PX922707.1,plant,RNA-dependent RNA polymerase,1456
YCZ99379.1,PX922707.1,plant,triple gene block protein 1,226
YCZ99380.1,PX922707.1,plant,triple gene block protein 2,115
YCZ99381.1,PX922707.1,plant,triple gene block protein 3,70
YCZ99382.1,PX922707.1,plant,coat protein,237
YCZ99373.1,PX922706.1,plant,RNA-dependent RNA polymerase,1456
YCZ99374.1,PX922706.1,plant,triple gene block protein 1,226
YCZ99375.1,PX922706.1,plant,triple gene block protein 2,115
YCZ99376.1,PX922706.1,plant,triple gene block protein 3,70
YCZ99377.1,PX922706.1,plant,coat protein,237
YCZ99368.1,PX922705.1,plant,RNA-dependent RNA polymerase,1456
YCZ99369.1,PX922705.1,plant,triple gene block protein 1,226
YCZ99370.1,PX922705.1,plant,triple gene block protein 2,115
YCZ99371.1,PX922705.1,plant,triple gene block protein 3,70
YCZ99372.1,PX922705.1,plant,coat protein,237
YCZ99363.1,PX922704.1,plant,RNA-dependent RNA polymerase,1456
YCZ99364.1,PX922704.1,plant,triple gene block protein 1,226
YCZ99365.1,PX922704.1,plant,triple gene block protein 2,115
YCZ99366.1,PX922704.1,plant,triple gene block protein 3,70
YCZ99367.1,PX922704.1,plant,coat protein,237
YCZ99358.1,PX922703.1,plant,RNA-dependent RNA polymerase,1456
YCZ99359.1,PX922703.1,plant,triple gene block protein 1,226
YCZ99360.1,PX922703.1,plant,triple gene block protein 2,115
YCZ99361.1,PX922703.1,plant,triple gene block protein 3,70
YCZ99362.1,PX922703.1,plant,coat protein,237
YCZ99353.1,PX922702.1,plant,RNA-dependent RNA polymerase,1456
YCZ99354.1,PX922702.1,plant,triple gene block protein 1,226
YCZ99355.1,PX922702.1,plant,triple gene block protein 2,115
YCZ99356.1,PX922702.1,plant,triple gene block protein 3,70
YCZ99357.1,PX922702.1,plant,coat protein,237
YCZ99348.1,PX922701.1,plant,RNA-dependent RNA polymerase,1456
YCZ99349.1,PX922701.1,plant,triple gene block protein 1,226
YCZ99350.1,PX922701.1,plant,triple gene block protein 2,115
YCZ99351.1,PX922701.1,plant,triple gene block protein 3,70
YCZ99352.1,PX922701.1,plant,coat protein,237
YCZ99342.1,PX922700.1,plant,RNA-dependent RNA polymerase,1975
YCZ99343.1,PX922700.1,plant,triple gene block protein 1,243
YCZ99344.1,PX922700.1,plant,triple gene block protein 2,108
YCZ99345.1,PX922700.1,plant,triple gene block protein 3,66
YCZ99346.1,PX922700.1,plant,coat protein,294
YCZ99347.1,PX922700.1,plant,nucleic acid binding protein,94
YCZ99290.1,PX872518.1,plant,RNA-dependent RNA polymerase,1975
YCZ99291.1,PX872518.1,plant,triple gene block protein 1,243
YCZ99292.1,PX872518.1,plant,triple gene block protein 2,108
YCZ99293.1,PX872518.1,plant,triple gene block protein 3,66
YCZ99294.1,PX872518.1,plant,coat protein,294
YCZ99295.1,PX872518.1,plant,nucleic acid binding protein,94
CAO3349783.1,OZ369212.1,plant,Major capsid protein,461
CAO3349784.1,OZ369212.1,plant,Uncharacterized 15.9 kDa protein in MSP 5'region,137
CAO3349785.1,OZ369212.1,plant,Uncharacterized protein 404L,243
CAO3349786.1,OZ369212.1,plant,hypothetical protein,115
CAO3349787.1,OZ369212.1,plant,Putative myristoylated protein 006R,513
CAO3349788.1,OZ369212.1,plant,hypothetical protein,260
CAO3349789.1,OZ369212.1,plant,Uncharacterized protein 004R,399
CAO3349790.1,OZ369212.1,plant,hypothetical protein,135
CAO3349791.1,OZ369212.1,plant,Putative RING finger protein 027R,149
CAO3349792.1,OZ369212.1,plant,Uncharacterized protein 026R,226
CAO3349793.1,OZ369212.1,plant,hypothetical protein,178
CAO3349794.1,OZ369212.1,plant,hypothetical protein,94
CAO3349795.1,OZ369212.1,plant,hypothetical protein,88
CAO3349796.1,OZ369212.1,plant,Ribonucleoside-diphosphate reductase small chain,367
CAO3349797.1,OZ369212.1,plant,hypothetical protein,805
CAO3349798.1,OZ369212.1,plant,Uncharacterized protein 050L,158
CAO3349799.1,OZ369212.1,plant,Uncharacterized protein 023R,98
CAO3349800.1,OZ369212.1,plant,Putative Bro-N domain-containing protein 019R,277
CAO3349801.1,OZ369212.1,plant,Putative MSV199 domain-containing protein 420R,119
CAO3349802.1,OZ369212.1,plant,Uncharacterized protein 107R,311
CAO3349803.1,OZ369212.1,plant,Putative MSV199 domain-containing protein 468L,430
CAO3349804.1,OZ369212.1,plant,Uncharacterized protein 017R,210
CAO3349805.1,OZ369212.1,plant,Uncharacterized protein 017R,95
CAO3349806.1,OZ369212.1,plant,Uncharacterized protein 422L,194
CAO3349807.1,OZ369212.1,plant,hypothetical protein,73
CAO3349808.1,OZ369212.1,plant,hypothetical protein,134
CAO3349809.1,OZ369212.1,plant,Probable cysteine proteinase 024R,377
CAO3349810.1,OZ369212.1,plant,Probable cysteine proteinase 024R,125
CAO3349811.1,OZ369212.1,plant,Putative FAS1 domain-containing protein 081L,188
CAO3349812.1,OZ369212.1,plant,hypothetical protein,143
CAO3349813.1,OZ369212.1,plant,Uncharacterized protein 115R,85
CAO3349814.1,OZ369212.1,plant,hypothetical protein,130
CAO3349815.1,OZ369212.1,plant,Uncharacterized protein 119R,174
CAO3349816.1,OZ369212.1,plant,hypothetical protein,225
CAO3349817.1,OZ369212.1,plant,Dual specificity phosphatase,166
CAO3349818.1,OZ369212.1,plant,High mobility group protein homolog 068R,196
CAO3349819.1,OZ369212.1,plant,hypothetical protein,85
CAO3349820.1,OZ369212.1,plant,"RNA polymerase Rpb1, domain 3",1337
CAO3349821.1,OZ369212.1,plant,XPG I-region,158
CAO3349822.1,OZ369212.1,plant,XPG I-region,199
CAO3349823.1,OZ369212.1,plant,hypothetical protein,175
CAO3349824.1,OZ369212.1,plant,hypothetical protein,72
CAO3349825.1,OZ369212.1,plant,hypothetical protein,75
CAO3349826.1,OZ369212.1,plant,hypothetical protein,132
CAO3349827.1,OZ369212.1,plant,Putative MSV199 domain-containing protein 238R,395
CAO3349828.1,OZ369212.1,plant,Putative MSV199 domain-containing protein 093L,84
CAO3349829.1,OZ369212.1,plant,Uncharacterized protein 113L,406
CAO3349830.1,OZ369212.1,plant,Uncharacterized protein 113L,387
CAO3349831.1,OZ369212.1,plant,Trypsin Inhibitor like cysteine rich domain,75
CAO3349832.1,OZ369212.1,plant,Uncharacterized protein 112R,117
CAO3349833.1,OZ369212.1,plant,phosphatase activity,150
CAO3349834.1,OZ369212.1,plant,Uncharacterized protein 001R,69
CAO3349835.1,OZ369212.1,plant,Uncharacterized protein 001R,85
CAO3349836.1,OZ369212.1,plant,Uncharacterized protein 092R,171
CAO3349837.1,OZ369212.1,plant,kinase activity,169
CAO3349838.1,OZ369212.1,plant,hypothetical protein,406
CAO3349839.1,OZ369212.1,plant,Uncharacterized protein 032R,287
CAO3349840.1,OZ369212.1,plant,hypothetical protein,223
CAO3349841.1,OZ369212.1,plant,hypothetical protein,135
CAO3349842.1,OZ369212.1,plant,hypothetical protein,86
CAO3349844.1,OZ369212.1,plant,DNA binding,424
CAO3349845.1,OZ369212.1,plant,Uncharacterized protein 016R,443
CAO3349846.1,OZ369212.1,plant,Uncharacterized protein 072L,1117
CAO3349847.1,OZ369212.1,plant,Uncharacterized protein 073R,154
CAO3349848.1,OZ369212.1,plant,hypothetical protein,68
CAO3349849.1,OZ369212.1,plant,hypothetical protein,56
CAO3349850.1,OZ369212.1,plant,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity,513
CAO3349851.1,OZ369212.1,plant,Matrix metalloproteinase-2,239
CAO3349852.1,OZ369212.1,plant,hypothetical protein,368
CAO3349853.1,OZ369212.1,plant,extracellular matrix,218
CAO3349854.1,OZ369212.1,plant,Uncharacterized protein 082L,114
CAO3349855.1,OZ369212.1,plant,Erv1 / Alr family,155
CAO3349856.1,OZ369212.1,plant,Putative MSV199 domain-containing protein 420R,146
CAO3349858.1,OZ369212.1,plant,DNA binding,430
CAO3349859.1,OZ369212.1,plant,hypothetical protein,164
CAO3349860.1,OZ369212.1,plant,OTU-like cysteine protease,887
CAO3349861.1,OZ369212.1,plant,Uncharacterized protein 123L,77
CAO3349863.1,OZ369212.1,plant,Uncharacterized protein 443R,132
CAO3349864.1,OZ369212.1,plant,Uncharacterized protein 125R,208
CAO3349865.1,OZ369212.1,plant,Uncharacterized protein 126R,1324
CAO3349866.1,OZ369212.1,plant,hypothetical protein,287
CAO3349867.1,OZ369212.1,plant,Uncharacterized protein 019R,95
CAO3349868.1,OZ369212.1,plant,Transmembrane protein 049L,52
CAO3349869.1,OZ369212.1,plant,D5 N terminal like,939
CAO3349870.1,OZ369212.1,plant,DNA binding,287
CAO3349871.1,OZ369212.1,plant,Putative MSV199 domain-containing protein 238R,101
CAO3349872.1,OZ369212.1,plant,Uncharacterized protein 051L,1590
CAO3349873.1,OZ369212.1,plant,Uncharacterized protein 404L,91
CAO3349874.1,OZ369212.1,plant,acid-amino acid ligase activity,448
CAO3349875.1,OZ369212.1,plant,hypothetical protein,488
CAO3349876.1,OZ369212.1,plant,Uncharacterized protein 443R,227
CAO3349877.1,OZ369212.1,plant,DNA-directed RNA polymerase subunit 2,768
CAO3349878.1,OZ369212.1,plant,Putative KilA-N domain-containing protein 006L,352
CAO3349879.1,OZ369212.1,plant,Putative MSV199 domain-containing protein 211L,658
CAO3349880.1,OZ369212.1,plant,Uncharacterized protein 007R,76
CAO3349881.1,OZ369212.1,plant,Putative MSV199 domain-containing protein 238R,169
CAO3349882.1,OZ369212.1,plant,acid-amino acid ligase activity,195
CAO3349883.1,OZ369212.1,plant,hypothetical protein,425
CAO3349884.1,OZ369212.1,plant,Uncharacterized protein 053L,495
CAO3349885.1,OZ369212.1,plant,DNA ligase,610
CAO3349886.1,OZ369212.1,plant,Uncharacterized protein 094L,139
CAO3349887.1,OZ369212.1,plant,Uncharacterized protein 094L,125
CAO3349888.1,OZ369212.1,plant,hypothetical protein,696
CAO3349889.1,OZ369212.1,plant,Uncharacterized protein 033L,107
CAO3349890.1,OZ369212.1,plant,Putative MSV199 domain-containing protein 468L,270
CAO3349891.1,OZ369212.1,plant,hypothetical protein,187
CAO3349892.1,OZ369212.1,plant,Uncharacterized protein 032R,364
CAO3349893.1,OZ369212.1,plant,"protein phosphatase 1, regulatory subunit 15B",119
CAO3349894.1,OZ369212.1,plant,hypothetical protein,239
CAO3349895.1,OZ369212.1,plant,hypothetical protein,139
CAO3349896.1,OZ369212.1,plant,Uncharacterized protein 261R,136
CAO3349897.1,OZ369212.1,plant,Uncharacterized protein 219L,280
CAO3349898.1,OZ369212.1,plant,uncharacterized protein 030L,89
CAO3349899.1,OZ369212.1,plant,Putative kinase protein 029R,190
CAO3349900.1,OZ369212.1,plant,Uncharacterized protein 028R,296
CAO3349901.1,OZ369212.1,plant,Thymidylate synthase,297
CAO3349902.1,OZ369212.1,plant,Uncharacterized protein 061R,468
CAO3349903.1,OZ369212.1,plant,hypothetical protein,71
CAO3349904.1,OZ369212.1,plant,hypothetical protein,173
CAO3349905.1,OZ369212.1,plant,Uncharacterized protein 063R,224
CAO3349906.1,OZ369212.1,plant,hypothetical protein,213
CAO3349907.1,OZ369212.1,plant,DNA topoisomerase 2,754
CAO3349908.1,OZ369212.1,plant,DNA topoisomerase large subunit,387
CAO3349909.1,OZ369212.1,plant,hypothetical protein,59
CAO3349910.1,OZ369212.1,plant,Uncharacterized protein 099R,329
CAO3349911.1,OZ369212.1,plant,Uncharacterized protein 378R,227
CAO3349912.1,OZ369212.1,plant,Uncharacterized protein 443R,751
CAO3349913.1,OZ369212.1,plant,Uncharacterized protein 443R,1444
CAO3349914.1,OZ369212.1,plant,Uncharacterized protein 074L,698
CAO3349915.1,OZ369212.1,plant,"Ribonucleotide reductase, barrel domain",755
CAO3349916.1,OZ369212.1,plant,Putative MSV199 domain-containing protein 211L,258
CAO3349917.1,OZ369212.1,plant,Putative KilA-N domain-containing protein 006L,173
CAO3349918.1,OZ369212.1,plant,hypothetical protein,58
CAO3349919.1,OZ369212.1,plant,Uncharacterized protein 219L,271
CAO3349920.1,OZ369212.1,plant,Uncharacterized protein 042R,158
CAO3349921.1,OZ369212.1,plant,Poxvirus Late Transcription Factor VLTF3 like,354
CAO3349922.1,OZ369212.1,plant,mRNA-decapping protein D10,224
CAO3349923.1,OZ369212.1,plant,Uncharacterized protein L5,463
CAO3349924.1,OZ369212.1,plant,Uncharacterized protein 088R,252
CAO3349925.1,OZ369212.1,plant,hypothetical protein,178
CAO3349926.1,OZ369212.1,plant,UPF0213 protein CKO_04549,127
CAO3349927.1,OZ369212.1,plant,Putative serine/threonine-protein kinase 040L,319
CAO3349928.1,OZ369212.1,plant,Uncharacterized protein 045R,107
CAO3349929.1,OZ369212.1,plant,Putative MSV199 domain-containing protein 238R,217
CAO3349930.1,OZ369212.1,plant,Uncharacterized protein 019R,257
CAO3349931.1,OZ369212.1,plant,Uncharacterized protein 229L,425
CAO3349932.1,OZ369212.1,plant,Uncharacterized protein 443R,895
CAO3349933.1,OZ369212.1,plant,Uncharacterized protein 043R,63
CAO3349934.1,OZ369212.1,plant,Uncharacterized protein 038R,550
CAO3349935.1,OZ369212.1,plant,hypothetical protein,293
CAO3349936.1,OZ369212.1,plant,Putative thioredoxin-like protein 041R,118
CAO3349937.1,OZ369212.1,plant,hypothetical protein,53
CAO3349938.1,OZ369212.1,plant,Double-stranded RNA binding motif,147
CAO3349939.1,OZ369212.1,plant,Immediate-early protein ICP-46 homolog,444
CAO3349940.1,OZ369212.1,plant,protein serine/threonine kinase activity,511
CAO3349941.1,OZ369212.1,plant,Putative SWIB domain-containing protein 070L,246
CAO3349943.1,OZ369212.1,plant,N-methyltransferase activity,969
CAO3349944.1,OZ369212.1,plant,Putative KilA-N domain-containing protein 006L,140
CAO3349945.1,OZ369212.1,plant,Putative MSV199 domain-containing protein 468L,233
CAO3349946.1,OZ369212.1,plant,Uncharacterized protein 060L,249
CAO3349947.1,OZ369212.1,plant,hypothetical protein,132
CAO3349948.1,OZ369212.1,plant,Uncharacterized protein 058R,143
CAO3349949.1,OZ369212.1,plant,hypothetical protein,165
CAO3349950.1,OZ369212.1,plant,XRN 5'-3' exonuclease N-terminus,563
CAO3349951.1,OZ369212.1,plant,hypothetical protein,87
CAO3349952.1,OZ369212.1,plant,Dihydrofolate reductase,179
CAO3349953.1,OZ369212.1,plant,acid-amino acid ligase activity,379
CAO3349954.1,OZ369212.1,plant,Putative MSV199 domain-containing protein 468L,189
CAO3349955.1,OZ369212.1,plant,hypothetical protein,202
CAO3349956.1,OZ369212.1,plant,Uncharacterized protein 97L,165
CAO3349957.1,OZ369212.1,plant,Uncharacterized protein 020R,211
CAO3349958.1,OZ369212.1,plant,Uncharacterized protein 071L,478
CAO3349959.1,OZ369212.1,plant,Uncharacterized protein 106R,288
CAO3349960.1,OZ369212.1,plant,hypothetical protein,81
CAO3349961.1,OZ369212.1,plant,Uncharacterized protein 159L,116
CAO3349962.1,OZ369212.1,plant,Uncharacterized protein 105R,243
CAO3349963.1,OZ369212.1,plant,Putative CTD phosphatase-like protein 355R,186
CAO3349964.1,OZ369212.1,plant,"Zinc finger, C3HC4 type (RING finger)",221
CAO3349965.1,OZ369212.1,plant,Transmembrane protein 022L,209
CAO3349966.1,OZ369212.1,plant,ribonuclease III activity,89
CAO3349967.1,OZ369212.1,plant,ribonuclease III activity,153
CAO3349968.1,OZ369212.1,plant,Putative MSV199 domain-containing protein 420R,228
CAO3349969.1,OZ369212.1,plant,Putative membrane protein 047R,415
CAO3349970.1,OZ369212.1,plant,Putative membrane protein 047R,291
CAO3349971.1,OZ369212.1,plant,Uncharacterized protein 102R,83
CAO3349972.1,OZ369212.1,plant,Uncharacterized protein 054L,117
CAO3349973.1,OZ369212.1,plant,Uncharacterized protein 085L,268
CAO3349974.1,OZ369212.1,plant,hypothetical protein,156
CAO3349975.1,OZ369212.1,plant,Putative zinc finger protein 012R,109
CAO3349976.1,OZ369212.1,plant,Probable serine/threonine-protein kinase 380R,386
CAO3349977.1,OZ369212.1,plant,Uncharacterized protein 056L,522
CAO3349978.1,OZ369212.1,plant,hypothetical protein,341
CAO3349979.1,OZ369212.1,plant,hypothetical protein,145
CAO3349980.1,OZ369212.1,plant,Uncharacterized protein 069L,296
CAO3349981.1,OZ369212.1,plant,Putative Bro-N domain-containing protein 019R,423
CAO3349982.1,OZ369212.1,plant,Putative MSV199 domain-containing protein 200R,407
CAO3349983.1,OZ369212.1,plant,Putative transcription elongation factor S-II-like protein 055R,135
CAO3349984.1,OZ369212.1,plant,hypothetical protein,71
CAO3349985.1,OZ369212.1,plant,Uncharacterized protein 035R,980
CAO3349986.1,OZ369212.1,plant,Uncharacterized protein IIV3-013L,87
CAO3349987.1,OZ369212.1,plant,hypothetical protein,104
CAO3349988.1,OZ369212.1,plant,hypothetical protein,76
CAO3349989.1,OZ369212.1,plant,Uncharacterized protein 009R,85
CAO3349990.1,OZ369212.1,plant,hypothetical protein,199
CAO3349991.1,OZ369212.1,plant,Uncharacterized protein 273R,288
YCP68829.1,PX635361.1,plant,pre-coat protein,114
YCP68830.1,PX635361.1,plant,coat protein,258
YCP68831.1,PX635361.1,plant,replication enhancer protein,134
YCP68832.1,PX635361.1,plant,transcriptional activator protein,135
YCP68833.1,PX635361.1,plant,replication-associated protein,374
YCP68834.1,PX635361.1,plant,C4 protein,96
YCO21574.1,PX505951.1,plant,polyprotein,3092
YCO21575.1,PX505951.1,plant,PIPO,74
YCO21572.1,PX505950.1,plant,polyprotein,3093
YCO21573.1,PX505950.1,plant,PIPO,74
YCO21567.1,PX505949.1,plant,replication-associated protein,1438
YCO21569.1,PX505949.1,plant,triple gene block 1 protein,234
YCO21570.1,PX505949.1,plant,triple gene block 2 protein,123
YCO21571.1,PX505949.1,plant,triple gene block 3 protein,82
YCO21568.1,PX505949.1,plant,capsid protein,237
YCO21562.1,PX505948.1,plant,replication-associated protein,1439
YCO21564.1,PX505948.1,plant,triple gene block 1 protein,234
YCO21565.1,PX505948.1,plant,triple gene block 2 protein,123
YCO21566.1,PX505948.1,plant,triple gene block 3 protein,84
YCO21563.1,PX505948.1,plant,capsid protein,237
YCO21556.1,PX505947.1,plant,replicase,2095
YCO21558.1,PX505947.1,plant,triple gene block protein 1,231
YCO21560.1,PX505947.1,plant,triple gene block protein 2,107
YCO21561.1,PX505947.1,plant,triple gene block protein 3,64
YCO21557.1,PX505947.1,plant,coat protein,315
YCO21559.1,PX505947.1,plant,nucleic acid binding protein,107
YCO21552.1,PX505946.1,plant,RNA-dependent RNA polymerase,1615
YCO21553.1,PX505946.1,plant,replication-associated protein,1116
YCO21554.1,PX505946.1,plant,movement protein,266
YCO21555.1,PX505946.1,plant,coat protein,159
YCO21548.1,PX505945.1,plant,RNA-dependent RNA polymerase,1615
YCO21549.1,PX505945.1,plant,replication-associated protein,1116
YCO21550.1,PX505945.1,plant,movement protein,266
YCO21551.1,PX505945.1,plant,coat protein,159
YCL81092.1,PX593795.1,plant,183 kDa replicase,1615
YCL81093.1,PX593795.1,plant,126 kDa replicase,1116
YCL81094.1,PX593795.1,plant,movement protein,266
YCL81095.1,PX593795.1,plant,coat protein,159
YCL81088.1,PX593794.1,plant,183 kDa replicase,1615
YCL81089.1,PX593794.1,plant,126 kDa replicase,1116
YCL81090.1,PX593794.1,plant,movement protein,266
YCL81091.1,PX593794.1,plant,coat protein,159
YCL81084.1,PX593793.1,plant,183 kDa replicase,1615
YCL81085.1,PX593793.1,plant,126 kDa replicase,1116
YCL81086.1,PX593793.1,plant,movement protein,266
YCL81087.1,PX593793.1,plant,coat protein,159
YCJ27303.1,PX513837.1,plant,movement protein,116
YCJ27304.1,PX513837.1,plant,capsid protein,258
YCJ27305.1,PX513837.1,plant,replication enhancer protein,134
YCJ27306.1,PX513837.1,plant,TrAP protein,135
YCJ27307.1,PX513837.1,plant,replication-associated protein,357
YCJ27308.1,PX513837.1,plant,symptom determinant,97
YBZ30205.1,PV974340.1,plant,polyprotein,3063
YBZ30204.1,PV974339.1,plant,polyprotein,3063
YBZ30203.1,PV974337.1,plant,polyprotein,3078
YBZ30202.1,PV974336.1,plant,polyprotein,3078
YBZ30200.1,PV974329.1,plant,polyprotein,3063
YBZ30199.1,PV974328.1,plant,polyprotein,3078
YBZ30198.1,PV974327.1,plant,polyprotein,3063
YBZ30197.1,PV974323.1,plant,polyprotein,3063
YBZ30196.1,PV974322.1,plant,polyprotein,3063
YBZ30195.1,PV974319.1,plant,P32,289
YBZ30194.1,PV974318.1,plant,P32,289
YBZ30193.1,PV974316.1,plant,P32,289
YBZ30192.1,PV974315.1,plant,P32,289
YBZ30191.1,PV974314.1,plant,P32,289
YBZ30190.1,PV974313.1,plant,P32,289
YBZ30189.1,PV974312.1,plant,P32,289
YBZ30188.1,PV974311.1,plant,P32,289
YBZ30187.1,PV974310.1,plant,P32,289
YBZ30186.1,PV974309.1,plant,P32,289
YBZ30185.1,PV974308.1,plant,P32,289
YBZ30184.1,PV974307.1,plant,P32,289
YBZ30183.1,PV974306.1,plant,P0,264
YBZ30182.1,PV974305.1,plant,P0,264
YBZ30181.1,PV974304.1,plant,P0,264
YBZ30180.1,PV974303.1,plant,P0,264
YBZ30179.1,PV974302.1,plant,P0,264
YBZ30178.1,PV974301.1,plant,P0,264
YBZ30177.1,PV974300.1,plant,P0,264
YBZ30176.1,PV974299.1,plant,P0,264
YBZ30175.1,PV974298.1,plant,P0,264
YBZ30174.1,PV974297.1,plant,P0,264
YBZ30173.1,PV974296.1,plant,P0,264
YBZ30172.1,PV974295.1,plant,P0,264
YBZ30171.1,PV974294.1,plant,P0,264
YBZ30170.1,PV974293.1,plant,P0,264
YBZ07583.1,PV389049.1,plant,RNA-dependent RNA polymerase,1615
YBZ07584.1,PV389049.1,plant,small replicase subunit,1116
YBZ07585.1,PV389049.1,plant,movement protein,266
YBZ07586.1,PV389049.1,plant,coat protein,159
YBZ07579.1,PV389048.1,plant,RNA-dependent RNA polymerase,1615
YBZ07580.1,PV389048.1,plant,small replicase subunit,1116
YBZ07581.1,PV389048.1,plant,movement protein,266
YBZ07582.1,PV389048.1,plant,coat protein,159
YBZ07575.1,PV389047.1,plant,RNA-dependent RNA polymerase,1615
YBZ07576.1,PV389047.1,plant,small replicase subunit,1116
YBZ07577.1,PV389047.1,plant,movement protein,266
YBZ07578.1,PV389047.1,plant,coat protein,159
YBZ07571.1,PV389046.1,plant,RNA-dependent RNA polymerase,1615
YBZ07572.1,PV389046.1,plant,small replicase subunit,1116
YBZ07573.1,PV389046.1,plant,movement protein,266
YBZ07574.1,PV389046.1,plant,coat protein,159
YBZ07567.1,PV389045.1,plant,RNA-dependent RNA polymerase,1615
YBZ07568.1,PV389045.1,plant,small replicase subunit,1116
YBZ07569.1,PV389045.1,plant,movement protein,266
YBZ07570.1,PV389045.1,plant,coat protein,159
YBZ07563.1,PV389044.1,plant,RNA-dependent RNA polymerase,1615
YBZ07564.1,PV389044.1,plant,small replicase subunit,1116
YBZ07565.1,PV389044.1,plant,movement protein,266
YBZ07566.1,PV389044.1,plant,coat protein,159
YBZ07559.1,PV389043.1,plant,RNA-dependent RNA polymerase,1615
YBZ07560.1,PV389043.1,plant,small replicase subunit,1116
YBZ07561.1,PV389043.1,plant,movement protein,266
YBZ07562.1,PV389043.1,plant,coat protein,159
YBZ07555.1,PV389042.1,plant,RNA-dependent RNA polymerase,1615
YBZ07556.1,PV389042.1,plant,small replicase subunit,1116
YBZ07557.1,PV389042.1,plant,movement protein,266
YBZ07558.1,PV389042.1,plant,coat protein,159
YBZ07554.1,PV389041.1,plant,RNA-dependent RNA polymerase,1615
YBZ07551.1,PV389041.1,plant,small replicase subunit,1116
YBZ07552.1,PV389041.1,plant,movement protein,266
YBZ07553.1,PV389041.1,plant,coat protein,159
YBZ07547.1,PV389040.1,plant,RNA-dependent RNA polymerase,1615
YBZ07548.1,PV389040.1,plant,small replicase subunit,1116
YBZ07549.1,PV389040.1,plant,movement protein,266
YBZ07550.1,PV389040.1,plant,coat protein,159
